特征1,特征2,特征3,特征4,特征5,特征6,特征7,特征8,特征9,特征10,特征11,特征12,特征13,特征14,特征15,特征16,特征17,特征18,特征19,特征20,特征21,特征22,特征23,特征24,特征25,特征26,特征27,特征28,特征29,特征30,特征31,特征32,特征33,特征34,特征35,特征36,特征37,特征38,特征39,特征40,特征41,特征42,特征43,特征44,特征45,特征46,特征47,特征48,特征49,特征50,特征51,特征52,特征53,特征54,特征55,特征56,特征57,特征58,特征59,特征60,特征61,特征62,特征63,特征64,特征65,特征66,特征67,特征68,特征69,特征70,特征71,特征72,类型
4.73613015135917e+109,-178.596835419599,2.3688572751044e+109,1.40316458040132,2.38513718072991e+109,1.40316458040131,7.98925525459943e+106,1.40316458040131,3.97410768551757e+106,-178.596835419599,3.97410201740722e+106,-178.596835419599,1.89034053087773e+108,-178.596835419599,2.2821424270384e+105,1.4031645804013,1.88793033890858e+108,1.40316458040132,8.9575012184509e+105,-178.596835419599,1.24926620928582e+101,-178.596835419846,8.9576197370777e+105,1.4031645804013,4.87300624657831e+161,1.40316458040132,1.87650733744551e+155,-178.596835419546,4.8730043486266e+161,-178.596835419599,0.995512700067052,1.00000093757555,0.208186669070592,0.207020502755268,0.00448823750849814,0.00116616631532387,1.31088511952475e+110,1.3050027848158e+110,5.95476815838241e+106,1.9230518196213e+111,4.9983264258917e+110,5.95476815838241e+106,5.02085651499478e+110,1.91442250932006e+111,5.95476815838241e+106,2.18438845923389e+107,2.1843905072631e+107,1.36818505582143e+104,3.20447012382934e+108,8.36649310174556e+107,1.36818505582143e+104,8.36648525753354e+107,3.20447312826218e+108,1.36818505582143e+104,8.60469954446836e+108,1.79138373651611e+108,4.26831807053339e+103,1.26229849357689e+110,6.86122725048814e+108,4.26831807053339e+103,3.29570922149758e+109,2.62793718750598e+109,4.26831807053339e+103,2.18438845923389e+107,2.1843905072631e+107,1.36818505582143e+104,3.20447012382934e+108,3.23639190017615e+106,1.36818505582143e+104,8.36648525753354e+107,3.20447312826218e+108,1.36818505582143e+104,1
248.157456250008,-5.62148801559887,136.065513827587,152.439827986067,127.838371449646,160.742176061171,48.0979219515148,88.9397225518355,22.9981064521624,-88.6027088411588,23.0048460882915,-88.5929449931952,302.373135342638,-88.2345247873255,0.492070859559266,-90.2180056554097,304.88462398105,91.7492404693562,4.68243006954681,-78.2083602368219,0.0944065524741038,121.548226178946,4.59370345951885,101.393579499926,42.1156986649368,-91.3584237834282,1.21030234175846,104.350968270037,40.9519160332934,88.18308755959,0.998054174061508,1.25399203167294,1.05186801780965,1.00000191540093,0.255937857611432,0.0518661024087173,527172.864832791,526147.07819833,31.4074870727244,7733558.96616794,2015210.14013439,31.4074870727244,2019139.03323869,7718510.80653472,31.4074870727244,492.750413249671,617.905091818635,0.957399880476656,7228.58597374627,2366.65498730415,0.957399880476656,1887.29667137264,9064.5892113406,0.957399880476656,23813.1535675271,25048.2946408714,0.67363028153682,349335.938114522,95938.1500819255,0.67363028153682,91207.4028847288,367455.300774195,0.67363028153682,492.750413249671,617.905091818635,0.957399880476656,7228.58597374627,39238.2727910091,0.957399880476656,1887.29667137264,9064.5892113406,0.957399880476656,1
1.22581860196897e+81,-178.707858557185,6.1237093849132e+80,1.29214144281554,6.11791664880337e+80,1.29214144281554,1.61278781298558e+78,1.29214144281554,8.02346964612953e+77,-178.707858557184,8.02347661672636e+77,-178.707858557184,4.90755904120009e+79,-178.707858557184,4.15722759935574e+75,1.29214144281642,4.90703385285344e+79,1.29214144281554,2.02332926181269e+77,-178.707858557185,2.37847432058561e+71,1.29214139930286,2.02333583733354e+77,1.29214144281552,5.02335062736946e+118,1.29214144281554,1.39926037883297e+112,1.29214144295206,5.02335217952681e+118,-178.707858557184,1.00062203677651,0.999999428905241,0.207113686022311,0.207035274756575,0.000622607871268777,7.8411265736017e-05,3.36484862994201e+81,3.36694168953722e+81,5.51999532438329e+77,4.9361902001803e+82,1.28958143362321e+82,5.51999532438329e+77,1.28877976521242e+82,4.93926069202066e+82,5.51999532438329e+77,4.41021375271035e+78,4.41021123406039e+78,2.69772889999722e+75,6.46972755716634e+79,1.68916692067289e+79,2.69772889999722e+75,1.68916788534782e+79,6.46972386233884e+79,2.69772889999722e+75,2.23598655216613e+80,4.63103416715445e+79,3.64885289035884e+74,3.28016387076753e+81,1.77374490891701e+80,3.64885289035884e+74,8.56411250739818e+80,6.79366830031872e+80,3.64885289035884e+74,4.41021375271035e+78,4.41021123406039e+78,2.69772889999722e+75,6.46972755716634e+79,7.31086843279063e+77,2.69772889999722e+75,1.68916788534782e+79,6.46972386233884e+79,2.69772889999722e+75,1
822.517319558895,0.0736450127910543,410.431101698904,-169.09538084002,402.308179810331,178.788427679002,160.474460768637,88.6003171245224,76.739746301216,-88.9475795688658,76.7423905781565,-88.942262251023,328.237213378155,-84.4696723460769,3.03069701680361,89.5005704725429,325.151585376235,95.5877665553964,15.1122599331234,-71.7338891574981,0.0915501815729001,161.339505752033,15.0572449791495,107.987869297915,138.467875726373,-90.8521105318863,1.21049901641694,104.309875191123,137.299869354052,89.015768957795,0.994142773753968,1.42133834684283,1.05283706061589,1.00008475083298,0.427195573088864,0.0527523097829081,528767.499206417,525670.388332016,19.5820900060205,7756952.0498803,2013384.35739778,19.5820900060205,2025246.68543842,7711517.82674452,19.5820900060205,640.958972307878,911.01956609416,2.80066974775199,9402.78670983874,3489.32065486401,2.80066974775199,2454.95427785701,13364.5413178779,2.80066974775199,23770.4369551322,25026.3969733966,0.0240876652057123,348709.290836507,95854.2792340789,0.0240876652057123,91043.7928334383,367134.064773758,0.0240876652057123,640.958972307878,911.01956609416,2.80066974775199,9402.78670983874,39211.4384871322,2.80066974775199,2454.95427785701,13364.5413178779,2.80066974775199,1
431.675617436572,21.8114116811841,283.665778301942,133.359542907337,303.73909989041,129.848376424657,77.903714872878,88.8992286341075,37.2504027410634,-88.6382832478687,37.2566750712199,-88.631142419002,292.887117311693,-86.9673390041546,0.727454973136484,89.7510036710458,292.243577217981,93.0398931276597,8.27351030861587,-82.1206781430725,0.0943083500335829,127.917157322412,8.19204598239457,97.5491011934817,67.7173206035809,-90.9691056107408,1.20967904696275,104.366892640653,66.5514875247241,88.7554538342483,0.997107080019192,1.38752111071974,1.04888924554854,0.999997363539507,0.39041403070055,0.0488918820090329,526431.066955748,524908.144003634,204.467895767842,7722676.88553409,2010464.86480062,204.467895767842,2016297.85314725,7700335.7992666,204.467895767842,530.03554350432,735.435506044057,1.46444153527524,7775.55409866492,2816.81140237406,1.46444153527524,2030.10345616501,10788.745459441,1.46444153527524,23864.110979468,25030.8093609408,0.0276187263229645,350083.476875139,95871.1792388299,0.0276187263229645,91402.576245018,367198.793938575,0.0276187263229645,530.03554350432,735.435506044057,1.46444153527524,7775.55409866492,42474.6975578289,1.46444153527524,2030.10345616501,10788.745459441,1.46444153527524,1
11253.5715482143,2.49351929381072,8244.07449049467,126.086557188655,7420.82849121478,131.971072586625,2237.78047831945,83.7929024398097,1070.23579432098,-93.8266128630414,1070.29270154605,-93.8279681599642,508.515013151419,-28.3105615457128,64.7438370649094,-95.3244158373141,537.48736011365,145.247828347082,207.551912848739,-73.389266303997,0.778463070802835,62.9447169926041,206.985799158812,106.759929036885,1919.68223680177,-95.5263776020906,1.2119564739965,104.265776675597,1918.54172791143,84.4613667271172,0.91538997121955,1.06616897617908,1.00283194205908,1.00673525311847,0.150779004959528,0.00390331105938957,525769.895361512,481284.489383081,4254.30294061866,7712977.58222796,1843380.72657431,4254.30294061866,2013765.48196002,7060382.32701268,4254.30294061866,5939.6388644045,6332.65868693561,43.7516963541166,87133.7476942873,24254.8871384444,43.7516963541166,22749.571297196,92899.2985698644,43.7516963541166,24617.0689214736,24686.7830343235,0.252694553600317,361129.274244456,94553.5147100325,0.252694553600317,94286.500802806,362151.971424953,0.252694553600317,5939.6388644045,6332.65868693561,43.7516963541166,87133.7476942873,38588.9939011464,43.7516963541166,22749.571297196,92899.2985698644,43.7516963541166,1
5.96293151906339e+47,-178.858279444222,2.97577735239661e+47,1.14172055577808,2.97590645579669e+47,1.14172055577809,4.83056719009535e+44,1.14172055577808,2.40356494119756e+44,-178.858279444222,2.40356544785107e+44,-178.858279444222,2.38902583524032e+46,-178.858279444222,2.22972959341556e+42,1.14172055577796,2.38886377007794e+46,1.14172055577809,6.18052582455182e+43,-178.858279444222,6.54051476355758e+37,1.14172060218808,6.18053472030509e+43,1.14172055577781,3.44283504044545e+68,1.14172055577808,2.13881921160993e+61,1.14172052801412,3.44283531463092e+68,-178.858279444222,0.999971492686581,0.999999861437086,0.207124707730397,0.207035050678175,2.83687505052699e-05,8.96570522220808e-05,1.63636144769181e+48,1.63631479942316e+48,3.74923695669925e+44,2.40052145887715e+49,6.26729352473288e+48,3.74923695669925e+44,6.26747219352705e+48,2.40045302645955e+49,3.74923695669925e+44,1.32117972182007e+45,1.32117953875356e+45,7.81226701557168e+41,1.93815387042762e+46,5.06028544822717e+45,7.81226701557168e+41,5.06028614939516e+45,1.93815360187137e+46,7.81226701557168e+41,1.08853854185526e+47,2.25463227335043e+46,2.03025989882636e+41,1.59687221440243e+48,8.63552798789345e+46,2.03025989882636e+41,4.16924088029799e+47,3.30751690690895e+47,2.03025989882636e+41,1.32117972182007e+45,1.32117953875356e+45,7.81226701557168e+41,1.93815387042762e+46,2.23319426150922e+44,7.81226701557168e+41,5.06028614939516e+45,1.93815360187137e+46,7.81226701557168e+41,1
2.77865182425265e+35,-178.918448652286,1.38409851945051e+35,1.0815513477135,1.38385410593113e+35,1.08155134771353,1.68967642383976e+32,1.08155134771353,8.40790894336523e+31,-178.918448652287,8.40790694860756e+31,-178.918448652287,1.10918399020156e+34,-178.918448652287,7.61505970186101e+29,-178.918448652291,1.10978855696977e+34,1.08155134771352,2.30033458936073e+31,-178.918448652288,2.1213162895477e+25,-178.918447688601,2.30034042105378e+31,1.08155134771332,8.54262354801982e+49,1.08155134771351,6.09630278972047e+42,-178.918448659601,8.5426230411638e+49,-178.918448652287,1.00011608081852,1.00000015595197,0.206995837777266,0.207033103832496,0.000115924866551209,3.72660552296622e-05,7.60786175676587e+35,7.60874488358581e+35,3.56639962366988e+32,1.11606365629355e+37,2.9142459358708e+36,3.56639962366988e+32,2.91390768708138e+36,1.11619320987629e+37,3.56639962366988e+32,4.62165073170058e+32,4.62165145245613e+32,2.69827821415952e+29,6.77990291969528e+33,1.77015121000932e+33,2.69827821415952e+29,1.77015093395079e+33,6.77990397703452e+33,2.69827821415952e+29,5.05699383664649e+34,1.04677667585111e+34,1.76138723729623e+30,7.41854572496973e+35,4.0092876289549e+34,1.76138723729623e+30,1.93689287282627e+35,1.53560808742906e+35,1.76138723729623e+30,4.62165073170058e+32,4.62165145245613e+32,2.69827821415952e+29,6.77990291969528e+33,8.31166964513872e+31,2.69827821415952e+29,1.77015093395079e+33,6.77990397703452e+33,2.69827821415952e+29,1
3375746836029740.0,13.4039621040304,1889072506247610.0,-166.596037895741,1881142341847130.0,-166.596037895749,147004042838869.0,-166.59603789392,72221551451665.6,13.4039621060269,72220585060353.0,13.4039621060268,192620932596861.0,13.4039621045573,1233711367346.57,-166.596037893942,170052747023206.0,-166.596037895642,19215924070212.2,13.4039621055512,12244839488.8698,13.4039621101048,19228320900223.9,-166.596037894446,1.85603086865287e+20,-166.59603789594,38531479836343.8,-166.596037896049,1.85603135957697e+20,13.40396210406,1.00273275753499,1.00000880969611,0.206697616169297,0.206424754405058,0.00272394783887542,0.000272861764239352,1.04852533421588e+16,1.05139069972358e+16,131489337354997.0,1.53817334703891e+17,4.02695992645479e+16,131489337354997.0,4.01598521260465e+16,1.54237680184314e+17,131489337354997.0,396360160725855.0,396363652538422.0,853968775617.681,5814553212607880.0,1518123134906100.0,853968775617.681,1518109760820440.0,5814604437054710.0,853968775617.681,768918845866232.0,158933692468197.0,7111491402102.64,1.12799418016146e+16,608736229739514.0,7111491402102.64,2945056846910720.0,2331537080922140.0,7111491402102.64,396360160725855.0,396363652538422.0,853968775617.681,5814553212607880.0,69263196194624.0,853968775617.681,1518109760820440.0,5814604437054710.0,853968775617.681,1
439.477338772336,0.901837690718751,251.554869843124,148.323566891102,225.734279319051,161.794826257404,85.6759893036903,88.7117882419493,40.9667454189619,-88.8357357558976,40.9708556641606,-88.8265977334953,287.778921604142,-86.6910864594206,0.635105961005775,89.6979368171049,287.087013102171,93.317641011637,8.76224547857642,-67.1328630711995,0.0928326017061827,149.572540621616,8.68793459515198,112.501386973022,74.3424637895154,-91.0159515709528,1.21019970988428,104.276445413155,73.1758072104769,88.7341302167181,0.996388321999782,1.27162252023192,1.04774875100923,1.00007849959986,0.275234198232142,0.0476702514093628,527590.823398155,525685.335228171,74.9416193374026,7739690.36523318,2013441.60590859,74.9416193374026,2020739.86763268,7711737.09581257,74.9416193374026,593.234629819767,754.370515060264,1.32046370130871,8702.67666743269,2889.33489201057,1.32046370130871,2272.16398423299,11066.5196366043,1.32046370130871,23900.5347376591,25041.755419835,0.0193954864021428,350617.808781297,95913.1040347512,0.0193954864021428,91542.0838653967,367359.371232196,0.0193954864021428,593.234629819767,754.370515060264,1.32046370130871,8702.67666743269,42493.5891751058,1.32046370130871,2272.16398423299,11066.5196366043,1.32046370130871,1
